tf, Pd, Pfa
0, 2, 0.999511
0.2, 1.64, 0.689888
0.4, 1.53, 0.572614
0.6, 1.43, 0.490029
0.8, 1.36, 0.425681
1, 1.31, 0.373674
1.2, 1.26, 0.330616
1.4, 1.21, 0.295129
1.6, 1.16, 0.264069
1.8, 1.13, 0.23683
2, 1.11, 0.214143
2.2, 1.09, 0.193087
2.4, 1.09, 0.175471
2.6, 1.08, 0.159086
2.8, 1.07, 0.144607
3, 1.04, 0.132086
3.2, 1.04, 0.120493
3.4, 1.04, 0.110269
3.6, 1.04, 0.100894
3.8, 1.04, 0.0923693
4, 1.03, 0.0847386
4.2, 1.03, 0.0780703
4.4, 1.03, 0.0717978
4.6, 1.02, 0.066214
4.8, 1.01, 0.0609477
5, 1.01, 0.0564631
5.2, 1.01, 0.051959
5.4, 1.01, 0.0482267
5.6, 1.01, 0.0444162
5.8, 1.01, 0.041236
6, 1.01, 0.0381974
6.2, 1.01, 0.035447
6.4, 1.01, 0.0329946
6.6, 1.01, 0.0306448
6.8, 1.01, 0.0284074
7, 1.01, 0.0265608
7.2, 1.01, 0.0248412
7.4, 1.01, 0.0230923
7.6, 1.01, 0.0215584
7.8, 1.01, 0.0200098
8, 1.01, 0.0186468
8.2, 1.01, 0.0175232
8.4, 1.01, 0.0162873
8.6, 1.01, 0.0152076
8.8, 1.01, 0.0143136
9, 1.01, 0.0134489
9.2, 1.01, 0.0127259
9.4, 1, 0.0119345
9.6, 1, 0.0112115
9.8, 1, 0.0106351
10, 1, 0.0100195
10.2, 1, 0.00941378
10.4, 1, 0.00889106
10.6, 1, 0.00839766
10.8, 1, 0.00800195
11, 1, 0.0075232
11.2, 1, 0.00715681
11.4, 1, 0.00670738
11.6, 1, 0.00638495
11.8, 1, 0.00604299
12, 1, 0.00568148
12.2, 1, 0.0054128
12.4, 1, 0.00517831
12.6, 1, 0.00492916
12.8, 1, 0.00466536
13, 1, 0.00443087
13.2, 1, 0.00425012
13.4, 1, 0.00409868
13.6, 1, 0.00385442
13.8, 1, 0.00369321
14, 1, 0.003532
14.2, 1, 0.00337567
14.4, 1, 0.0031998
14.6, 1, 0.00304348
14.8, 1, 0.00294089
15, 1, 0.00282364
15.2, 1, 0.00272106
15.4, 1, 0.00258427
15.6, 1, 0.00246214
15.8, 1, 0.00236444
16, 1, 0.00225696
16.2, 1, 0.00215926
16.4, 1, 0.00210064
16.6, 1, 0.00200293
16.8, 1, 0.00193454
17, 1, 0.0018466
17.2, 1, 0.00176844
17.4, 1, 0.00170005
17.6, 1, 0.00161212
17.8, 1, 0.00156326
18, 1, 0.00152907
18.2, 1, 0.00147044
18.4, 1, 0.00143625
18.6, 1, 0.00140205
18.8, 1, 0.00137274
19, 1, 0.00132389
19.2, 1, 0.00128481
19.4, 1, 0.00126527
19.6, 1, 0.0012213
19.8, 1, 0.00119687
20, 1, 0.00117733
20.2, 1, 0.00114802
20.4, 1, 0.00112848
20.6, 1, 0.00111871
20.8, 1, 0.00109917
21, 1, 0.00106986
21.2, 1, 0.00104543
21.4, 1, 0.00101612
21.6, 1, 0.00099658
21.8, 1, 0.00098681
22, 1, 0.000947728
22.2, 1, 0.000923302
22.4, 1, 0.000903762
22.6, 1, 0.000893991
22.8, 1, 0.000879336
23, 1, 0.00086468
23.2, 1, 0.000850024
23.4, 1, 0.000840254
23.6, 1, 0.000835369
23.8, 1, 0.000820713
24, 1, 0.000820713
24.2, 1, 0.000801172
24.4, 1, 0.000791402
24.6, 1, 0.000781632
24.8, 1, 0.000757206
25, 1, 0.000737665
25.2, 1, 0.000727894
25.4, 1, 0.000718124
25.6, 1, 0.000708354
25.8, 1, 0.000698583
26, 1, 0.000674157
26.2, 1, 0.000674157
26.4, 1, 0.000659502
26.6, 1, 0.000654617
26.8, 1, 0.000654617
27, 1, 0.000649731
27.2, 1, 0.000639961
27.4, 1, 0.000625305
27.6, 1, 0.00062042
27.8, 1, 0.00062042
28, 1, 0.000615535
28.2, 1, 0.00061065
28.4, 1, 0.000600879
28.6, 1, 0.000591109
28.8, 1, 0.000581339
29, 1, 0.000581339
29.2, 1, 0.000576453
29.4, 1, 0.000576453
29.6, 1, 0.000576453
29.8, 1, 0.000576453
